movie_id,title,cast,genres,tags
tt0135621,Rakshak,"Suniel Shetty, Karisma Kapoor, Sonali Bendre, Raghuvaran","['action', 'thriller']","['ASP', 'Raj', 'Sinha', 'is', 'assign', 'with', 'the', 'task', 'of', 'bringing', 'to', 'justice', 'the', 'people', 'who', 'are', 'responsible', 'for', 'printing', 'and', 'circulating', 'fake', 'currency', 'notes.', 'Raj', 'is', 'shocked', 'when', 'he', 'learn', 'that', 'the', 'leader', '...', 'See', 'full', 'summary', '»', 'action', 'thriller', 'action', 'thriller', 'sunielshetty', 'karismakapoor', 'sonalibendre', 'raghuvaran', 'ashokhonda']"
tt14767926,#Homecoming,"Sayani Gupta, Tushar Pandey, Hussain Dalal, Soham Majumdar","['drama', 'musical']","['A', 'group', 'of', '""friends""', 'and', '""misfits"",', 'who', 'had', 'formed', 'a', 'popular', 'yet', 'short-lived', 'youth', 'theatre', 'group,', 'reunite', 'for', 'the', 'first', 'time', 'after', 'seven', 'years', 'on', 'an', 'eventful', 'Durga', 'Pujo', 'night', 'at', 'their', 'old', '...', 'See', 'full', 'summary', '»', 'drama', 'musical', 'drama', 'musical', 'sayanigupta', 'tusharpandey', 'hussaindalal', 'sohammajumdar', 'soumyajitmajumdar']"
tt0272607,Farz,"Sunny Deol, Preity G Zinta, Jackie Shroff, Om Puri","['action', 'thriller']","['ACP', 'Arjun', 'Singh', 'and', 'his', 'brother-in-law,', 'Tayaji', 'are', 'with', 'the', 'police', 'force', 'but', 'when', 'Tayaji', 'is', 'assassinated', 'on', 'duty', ""Arjun's"", 'family', 'feels', 'devastated', 'by', 'his', 'death.', 'Soon,', 'Gawa', 'Firozi', 'and', 'his', 'brother', 'Sikander', 'start', 'to', 'terrorize', 'the', 'city.', 'action', 'thriller', 'action', 'thriller', 'sunnydeol', 'preitygzinta', 'jackieshroff', 'ompuri', 'rajkanwar']"
tt4600778,Chalk N Duster,"Richa Chadha, Shabana Azmi, Arya Babbar, Gavie Chahal",['drama'],"['CHALK', 'N', 'DUSTER', 'is', 'an', 'emotional', 'journey', 'of', 'two', 'teachers', 'Vidya', '(', 'Shabana', 'Azmi)', '&', 'Jyoti', '(', 'Juhi', 'Chawla)', ',', 'serving', 'at', 'a', 'Mumbai', '-', 'based', 'High', 'School.', 'Their', 'passion', 'and', 'love', 'for', 'teaching,', 'bonds', '...', 'See', 'full', 'summary', '»', 'drama', 'drama', 'richachadha', 'shabanaazmi', 'aryababbar', 'gaviechahal', 'jayantgilatar']"
tt1039995,U Me Aur Hum,"Ajay Devgn, Kajol, Sumeet Raghavan, Divya Dutta","['drama', 'romance']","[""Ajay's"", 'life', 'turns', 'upside', 'down', 'when', 'he', 'learns', 'that', 'his', 'wife', 'Piya', 'has', 'Alzheimer', 'and', 'he', 'has', 'no', 'option,', 'but', 'to', 'leave', 'his', 'wife', 'in', 'a', 'mental', 'hospital.', 'drama', 'romance', 'drama', 'romance', 'ajaydevgn', 'kajol', 'sumeetraghavan', 'divyadutta', 'ajaydevgn']"
tt0476888,"Tom, Dick, and Harry","Rakesh Bedi, Bobby Darling, Avtar Gill, Ramesh Goyal","['action', 'comedy', 'romance']","['Three', 'disabled', 'friends', '-', 'deaf', 'Tom,', 'blind', 'Dick', 'and', 'dumb', 'Harry', '-', 'get', 'caught', 'up', 'in', 'a', 'whirlwind', 'adventure', 'involving', 'two', 'beautiful', 'girls,', 'a', 'kidnapping', 'and', 'a', 'ton', 'of', 'cash.', 'action', 'comedy', 'romance', 'action', 'comedy', 'romance', 'rakeshbedi', 'bobbydarling', 'avtargill', 'rameshgoyal', 'deepaktijori']"
tt9367742,Tryst with Destiny,"Suhasini, Vineet Kumar Singh, Jaideep Ahlawat, Kani Kusruti",['drama'],"['A', 'billionaire', 'learns', 'there', 'is', 'something', 'money', ""can't"", 'buy,', 'a', 'lower-caste', 'couple', 'attempts', 'to', 'build', 'a', 'new', 'life,', 'and', 'a', 'corrupt', 'city', 'cop', 'finds', 'himself', 'far', 'outside', 'of', 'the', 'law', 'in', ""Nair's"", 'slyly', 'biting', 'triptych', 'on', 'class', 'in', 'contemporary', 'India.', 'drama', 'drama', 'suhasini', 'vineetkumarsingh', 'jaideepahlawat', 'kanikusruti', 'prashantnair']"
tt5997928,Mukti Bhawan,"Adil Hussain, Lalit Behl, Geetanjali Kulkarni, Palomi Ghosh","['comedy', 'drama']","['Faced', 'with', 'his', ""father's"", 'untimely', 'and', 'bizarre', 'demand', 'to', 'go', 'and', 'die', 'in', 'the', 'holy', 'city', 'of', 'Varanasi', 'and', 'attain', 'Salvation,', 'a', 'son', 'is', 'left', 'with', 'no', 'choice', 'but', 'to', 'embark', 'on', 'this', 'journey.', 'comedy', 'drama', 'comedy', 'drama', 'adilhussain', 'lalitbehl', 'geetanjalikulkarni', 'palomighosh', 'shubhashishbhutiani']"
tt0119285,Hero No. 1,"Govinda, Karisma Kapoor, Kader Khan, Paresh Rawal","['comedy', 'drama', 'musical']","['Timid', 'Rajesh', 'Malhotra', 'escapes', 'his', 'tyrant', 'father', 'and', 'meets', 'Meena', 'in', 'a', 'foreign', 'land.', 'The', 'two', 'lovers', 'decide', 'to', 'marry,', 'but', 'when', ""Meena's"", 'parents', 'object,', 'Rajesh', 'decides', 'to', 'win', 'them', 'over', 'in', 'the', 'quirkiest', 'way.', 'comedy', 'drama', 'musical', 'comedy', 'drama', 'musical', 'govinda', 'karismakapoor', 'kaderkhan', 'pareshrawal', 'daviddhawan']"
tt1252596,Ajab Prem Ki Ghazab Kahani,"Ranbir Kapoor, Katrina Kaif, Darshan Jariwala, Smita Jaykar","['action', 'comedy', 'musical']","['The', 'wacky', 'adventures', 'of', 'a', 'young', 'man', 'who', 'is', 'willing', 'to', 'sacrifice', 'his', 'own', 'love', 'to', 'insure', 'the', 'happiness', 'of', 'others,', 'even', 'trying', 'to', 'get', 'the', 'girl', 'of', 'his', 'dreams', 'married', 'to', 'the', 'guy', 'of', 'her', 'dreams.', 'action', 'comedy', 'musical', 'action', 'comedy', 'musical', 'ranbirkapoor', 'katrinakaif', 'darshanjariwala', 'smitajaykar', 'rajkumarsantoshi']"
